Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (normal to c-axis), s1from: http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_s1.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      26.3514       1.4960400     0.744178
      26.4535       1.6386300     0.888740
      26.5564       1.8379200     0.853350
      26.6602       1.8804100     0.681296
      26.7647       1.7991000     0.581138
      26.8701       1.6829200     0.532500
      26.9763       1.5588700     0.548079
      27.0833       1.4400600     0.582249
      27.1912       1.3046700     0.666705
      27.3000       1.2007101     0.800109
      27.4096       1.1232200     0.963123
      27.5202       1.0974500      1.15502
      27.6316       1.1156800      1.33998
      27.7439       1.1777200      1.51506
      27.8571       1.2522900      1.65834
      27.9713       1.3375900      1.79854
      28.0864       1.4262300      1.93800
      28.2025       1.5498300      2.08173
      28.3195       1.6777200      2.22836
      28.4375       1.8827800      2.38204
      28.5565       2.1013401      2.50186
      28.6765       2.4265001      2.62354
      28.7975       2.8282001      2.62878
      28.9195       3.2746899      2.43593
      29.0425       3.5508599      2.10663
      29.1667       3.7092500      1.69176
      29.2918       3.6524701      1.36874
      29.4181       3.6069901      1.10623
      29.5455       3.4759800     0.903926
      29.6739       3.3553700     0.756443
      29.8035       3.2086799     0.678942
      29.9342       3.1082101     0.653220
      30.0661       3.0585699     0.661630
      30.1991       3.0725200     0.617397
      30.3333       3.0522101     0.525963
      30.4688       2.9787700     0.432250
      30.6054       2.8995399     0.401110
      30.7432       2.8387499     0.354981
      30.8824       2.7721701     0.345340
      31.0227       2.7342300     0.305489
      31.1644       2.6551001     0.283381
      31.3073       2.6050999     0.282360
      31.4516       2.5681100     0.270050
      31.5972       2.5136600     0.233870
      31.7442       2.4389501     0.237830
      31.8925       2.3980899     0.239470
      32.0423       2.3411400     0.234850
      32.1934       2.2896099     0.240990
      32.3460       2.2389300     0.243840
      32.5000       2.1786799     0.255340
      32.6555       2.1422200     0.274790
      32.8125       2.0813401     0.259620
      32.9710       1.9994600     0.296741
      33.1311       1.9465801     0.325671
      33.2927       1.8661500     0.369709
      33.4559       1.7980000     0.432419
      33.6207       1.7080600     0.533559
      33.7871       1.6759599     0.717942
      33.9552       1.7737100     0.912245
      34.1250       2.0059400     0.989899
      34.2965       2.1913700     0.856391
      34.4697       2.2175901     0.667838
      34.6447       2.1213500     0.523571
      34.8214       1.9853700     0.457900
      35.0000       1.8333000     0.441800
      35.1804       1.6720099     0.467400
      35.3627       1.4864100     0.549314
      35.5469       1.3156199     0.721178
      35.7330       1.2062300     0.963946
      35.9211       1.1785001      1.25102
      36.1111       1.2581100      1.53880
      36.3032       1.3940001      1.77497
      36.4973       1.5656300      2.01068
      36.6936       1.8228000      2.24115
      36.8919       2.1997001      2.41705
      37.0924       2.6990700      2.46275
      37.2951       3.2542200      2.19294
      37.5000       3.5036700      1.70624
      37.7072       3.5376599      1.24852
      37.9167       3.3885701     0.920936
      38.1285       3.2438700     0.698772
      38.3427       3.0469100     0.568889
      38.5593       2.9319301     0.497380
      38.7784       2.7909000     0.423520
      39.0000       2.6943400     0.374410
      39.2241       2.5379701     0.307800
      39.4509       2.4061100     0.318910
      39.6802       2.2815700     0.304970
      39.9123       2.1508400     0.316120
      40.1471       1.9844600     0.320950
      40.3846       1.7907100     0.407918
      40.6250       1.6164500     0.548099
      40.8683       1.4535000     0.782796
      41.1145       1.4262600      1.14374
      41.3636       1.6505800      1.45398
      41.6158       2.0093501      1.55168
      41.8712       2.3282399      1.29210
      42.1296       2.2362900     0.942089
      42.3913       1.9635201     0.766910
      42.6563       1.5798100     0.786661
      42.9245       1.2267700      1.03185
      43.1962       1.0018100      1.45215
      43.4713      0.97743201      1.94099
      43.7500       1.0981100      2.38390
      44.0323       1.2913400      2.83794
      44.3182       1.6905500      3.24188
      44.6078       2.0902300      3.57889
      44.9013       2.8570800      3.89455
      45.1987       3.6716299      3.74220
      45.5000       4.3876200      3.14717
      45.8054       4.3991399      2.60524
      46.1149       4.6670699      2.33822
      46.4286       4.7428098      1.80916
