Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (parallel to c-axis) from : http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_p.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      53.7402       2.6234901     0.225420
      54.1667       2.5784600     0.238320
      54.6000       2.5807600     0.251690
      55.0403       2.5847199     0.256690
      55.4878       2.6138101     0.230560
      55.9426       2.5656500     0.180150
      56.4050       2.5269699     0.225390
      56.8750       2.5519199     0.233880
      57.3529       2.5536301     0.235490
      57.8390       2.5679500     0.205970
      58.3333       2.5228901     0.212290
      58.8362       2.5654500     0.233170
      59.3478       2.5527000     0.178390
      59.8684       2.5233500     0.191700
      60.3982       2.5185399     0.199290
      60.9375       2.5325301     0.203030
      61.4865       2.5204899     0.181280
      62.0454       2.5219200     0.190760
      62.6147       2.5108800     0.157640
      63.1944       2.4850399     0.172750
      63.7850       2.4802301     0.155790
      64.3868       2.4380400     0.175450
      65.0000       2.4593301     0.195350
      65.6250       2.4387500     0.159760
